Date,Open,High,Low,Close,Volume,Symbol
13/10/2021,64.44000244,65.13999939,64.08000183,64.22000122,1452200,INCY
14/10/2021,64.37999725,65.98000336,64.37999725,65.77999878,1662900,INCY
15/10/2021,65.55999756,65.91999817,65.31999969,65.55999756,1620500,INCY
18/10/2021,65.52999878,65.52999878,64.19999695,64.58000183,1595100,INCY
19/10/2021,64.69000244,65.69000244,64.56999969,65.47000122,1162700,INCY
20/10/2021,65.90000153,65.97000122,65.5,65.65000153,892500,INCY
21/10/2021,66.05000305,66.19000244,64.91999817,65.87000275,1295400,INCY
22/10/2021,65.83000183,66.33000183,65.30999756,65.79000092,1755100,INCY
25/10/2021,65.70999908,66.90000153,65.19000244,66.75,1143500,INCY
26/10/2021,66.88999939,67.09999847,66.38999939,66.55000305,1506000,INCY
